No,Prime Minister,Date of birth,Start date of term,End date of term
1,Robert Walpole,26 August 1676,4 April 1721,11 February 1742
2,Spencer Compton,18 March 1673,16 February 1742,2 July 1743
3,Henry Pelham,25 September 1694,27 August 1743,6 March 1754
4,Thomas Pelham-Holles,21 July 1693,16 March 1754,16 November 1756
5,William Cavendish,8 May 1720,16 November 1756,25 June 1757
6,Thomas Pelham-Holles,21 July 1693,2 July 1757,26 May 1762
7,John Stuart,25 May 1713,26 May 1762,8 April 1763
8,George Grenville,14 October 1712,16 April 1763,13 July 1765
9,Charles Watson-Wentworth,13 May 1730,13 July 1765,1 July 1782
10,William Pitt the Elder,15 November 1708,30 July 1766,14 October 1768
11,Augustus FitzRoy,28 September 1735,14 October 1768,28 January 1770
12,Frederick North,13 April 1732,28 January 1770,22 March 1782
13,Charles Watson-Wentworth,13 May 1730,27 March 1782,1 July 1782
14,William Petty,2 May 1737,4 July 1782,2 April 1783
15,William Cavendish-Bentinck,14 April 1738,2 April 1783,19 December 1783
16,William Pitt the Younger,28 May 1759,19 December 1783,23 January 1806
17,Henry Addington,30 May 1757,17 March 1801,10 May 1804
18,William Pitt the Younger,28 May 1759,10 May 1804,23 January 1806
19,William Grenville,25 October 1759,11 February 1806,31 March 1807
20,William Cavendish-Bentinck,14 April 1738,31 March 1807,4 October 1809
21,Spencer Perceval,1 November 1762,4 October 1809,11 May 1812
22,Robert Jenkinson,7 June 1770,8 June 1812,9 April 1827
23,George Canning,11 April 1770,10 April 1827,8 August 1827
24,Frederick Robinson,1 November 1782,31 August 1827,21 January 1828
25,Arthur Wellesley,1 May 1769,22 January 1828,16 November 1830
26,Charles Grey,13 March 1764,22 November 1830,16 July 1834
27,William Lamb,15 March 1779,16 July 1834,14 November 1834
28,Arthur Wellesley,1 May 1769,14 November 1834,10 December 1834
29,Robert Peel,5 February 1788,10 December 1834,8 April 1835
30,William Lamb,15 March 1779,18 April 1835,30 August 1841
31,Robert Peel,5 February 1788,30 August 1841,29 June 1846
32,John Russell,18 August 1792,30 June 1846,21 February 1852
33,Edward Smith-Stanley,29 March 1799,23 February 1852,17 December 1852
34,George Hamilton-Gordon,28 January 1784,19 December 1852,30 January 1855
35,Henry Temple,20 October 1784,6 February 1855,19 February 1858
36,Edward Smith-Stanley,29 March 1799,20 February 1858,11 June 1859
37,Henry Temple,20 October 1784,12 June 1859,18 October 1865
38,John Russell,18 August 1792,29 October 1865,28 June 1866
39,Edward Smith-Stanley,29 March 1799,28 June 1866,25 February 1868
40,Benjamin Disraeli,21 December 1804,27 February 1868,1 December 1868
41,William Ewart Gladstone,29 December 1809,3 December 1868,17 February 1874
42,Benjamin Disraeli,21 December 1804,20 February 1874,21 April 1880
43,William Ewart Gladstone,29 December 1809,23 April 1880,9 June 1885
44,Robert Cecil,3 February 1830,23 June 1885,28 January 1886
45,William Ewart Gladstone,29 December 1809,1 February 1886,20 July 1886
46,Robert Cecil,3 February 1830,25 July 1886,11 August 1892
47,William Ewart Gladstone,29 December 1809,15 August 1892,2 March 1894
48,Archibald Primrose,7 May 1847,5 March 1894,22 June 1895
46,Robert Cecil,3 February 1830,25 June 1895,11 July 1902
47,Arthur Balfour,25 July 1848,11 July 1902,5 December 1905
48,Henry Campbell-Bannerman,7 September 1836,5 December 1905,3 April 1908
49,Herbert Asquith,12 September 1852,5 April 1908,5 December 1916
50,David Lloyd George,17 January 1863,7 December 1916,22 October 1922
51,Bonar Law,16 September 1858,23 October 1922,22 May 1923
52,Stanley Baldwin,3 August 1867,23 May 1923,16 January 1924
53,Ramsay MacDonald,12 October 1866,22 January 1924,04 November 1924
52,Stanley Baldwin,3 August 1867,04 November 1924,05 June 1929
53,Ramsay MacDonald,12 October 1866,05 June 1929,07 June 1935
52,Stanley Baldwin,3 August 1867,07 June 1935,28 May 1935
53,Neville Chamberlain,18 March 1869,28 May 1937,10 May 1940
54,Winston Churchill,30 November 1874,10 May 1940,26 July 1945
55,Clement Attlee,3 January 1883,26 July 1945,26 October 1951
56,Winston Churchill,30 November 1874,26 October 1951,07 April 1955
57,Anthony Eden,12 June 1897,7 April 1955,10 January 1957
58,Harold Macmillan,10 February 1894,10 January 1957,18 October 1963
59,Alec Douglas-Home,02 July 2003,18 October 1963,16 October 1964
60,Harold Wilson,11 March 2016,16 October 1964,19 June 1970
61,Edward Heath,09 July 2016,19 June 1970,4 March 1974
60,Harold Wilson,11 March 2016,04 March 1974,5 April 1976
61,James Callaghan,27 March 2012,5 April 1976,4 May 1979
62,Margaret Thatcher,13 October 2025,4 May 1979,28 November 1990
63,John Major,29 March 1943,28 November 1990,2 May 1997
64,Tony Blair,06 May 1953,2 May 1997,27 June 2007
65,Gordon Brown,20 February 1951,27 June 2007,11 May 2010
66,David Cameron,09 October 1966,11 May 2010,13 July 2016
67,Teresa May,01 October 1956,13 July 2016,Incumbent
